Using device: cuda
/export/scratch/aqsa-laiba_cv2proj/cv2_project_sol/Eye-fixation-prediction-main/predict_test.py:77: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_dir, map_location=device)
image-4503.png saved shape: (224, 224) min/max: 128 255
image-4504.png saved shape: (224, 224) min/max: 128 255
image-4505.png saved shape: (224, 224) min/max: 128 255
image-4506.png saved shape: (224, 224) min/max: 128 255
image-4507.png saved shape: (224, 224) min/max: 128 255
image-4508.png saved shape: (224, 224) min/max: 128 255
image-4509.png saved shape: (224, 224) min/max: 128 255
image-4510.png saved shape: (224, 224) min/max: 128 255
image-4511.png saved shape: (224, 224) min/max: 128 255
image-4512.png saved shape: (224, 224) min/max: 128 255
image-4513.png saved shape: (224, 224) min/max: 128 255
image-4514.png saved shape: (224, 224) min/max: 128 255
image-4515.png saved shape: (224, 224) min/max: 128 254
image-4516.png saved shape: (224, 224) min/max: 128 255
image-4517.png saved shape: (224, 224) min/max: 128 255
image-4518.png saved shape: (224, 224) min/max: 128 255
image-4519.png saved shape: (224, 224) min/max: 128 255
image-4520.png saved shape: (224, 224) min/max: 128 255
image-4521.png saved shape: (224, 224) min/max: 128 255
image-4522.png saved shape: (224, 224) min/max: 128 255
image-4523.png saved shape: (224, 224) min/max: 128 255
image-4524.png saved shape: (224, 224) min/max: 147 255
image-4525.png saved shape: (224, 224) min/max: 128 255
image-4526.png saved shape: (224, 224) min/max: 128 255
image-4527.png saved shape: (224, 224) min/max: 128 255
image-4528.png saved shape: (224, 224) min/max: 128 255
image-4529.png saved shape: (224, 224) min/max: 128 255
image-4530.png saved shape: (224, 224) min/max: 128 255
image-4531.png saved shape: (224, 224) min/max: 128 255
image-4532.png saved shape: (224, 224) min/max: 128 255
image-4533.png saved shape: (224, 224) min/max: 128 255
image-4534.png saved shape: (224, 224) min/max: 128 255
image-4535.png saved shape: (224, 224) min/max: 128 255
image-4536.png saved shape: (224, 224) min/max: 128 255
image-4537.png saved shape: (224, 224) min/max: 128 255
image-4538.png saved shape: (224, 224) min/max: 128 255
image-4539.png saved shape: (224, 224) min/max: 129 253
image-4540.png saved shape: (224, 224) min/max: 128 255
image-4541.png saved shape: (224, 224) min/max: 128 255
image-4542.png saved shape: (224, 224) min/max: 136 255
image-4543.png saved shape: (224, 224) min/max: 128 255
image-4544.png saved shape: (224, 224) min/max: 128 255
image-4545.png saved shape: (224, 224) min/max: 128 255
image-4546.png saved shape: (224, 224) min/max: 129 255
image-4547.png saved shape: (224, 224) min/max: 128 255
image-4548.png saved shape: (224, 224) min/max: 129 255
image-4549.png saved shape: (224, 224) min/max: 130 252
image-4550.png saved shape: (224, 224) min/max: 129 254
image-4551.png saved shape: (224, 224) min/max: 128 255
image-4552.png saved shape: (224, 224) min/max: 128 255
image-4553.png saved shape: (224, 224) min/max: 129 254
image-4554.png saved shape: (224, 224) min/max: 128 255
image-4555.png saved shape: (224, 224) min/max: 129 255
image-4556.png saved shape: (224, 224) min/max: 128 255
image-4557.png saved shape: (224, 224) min/max: 129 255
image-4558.png saved shape: (224, 224) min/max: 133 255
image-4559.png saved shape: (224, 224) min/max: 128 255
image-4560.png saved shape: (224, 224) min/max: 128 255
image-4561.png saved shape: (224, 224) min/max: 128 255
image-4562.png saved shape: (224, 224) min/max: 129 255
image-4563.png saved shape: (224, 224) min/max: 129 255
image-4564.png saved shape: (224, 224) min/max: 128 255
image-4565.png saved shape: (224, 224) min/max: 129 255
image-4566.png saved shape: (224, 224) min/max: 128 255
image-4567.png saved shape: (224, 224) min/max: 128 235
image-4568.png saved shape: (224, 224) min/max: 128 255
image-4569.png saved shape: (224, 224) min/max: 128 255
image-4570.png saved shape: (224, 224) min/max: 128 255
image-4571.png saved shape: (224, 224) min/max: 128 255
